Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4fSIb4hdOQ151TILNsSEaF,Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,199604.0,72.0,s86x8wq9jeob731cq3j2vla7k,2022-03-30T23:23:12Z,"reggaeton,urbano latino,trap latino,latin",Sony Music Latin/Duars Entertainment,0.78,0.718,3.0,-3.605,0.0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4.0
2TH65lNHgvLxCKXM3apjxI,Callaita,Callaita,"Bad Bunny,Tainy",2019-05-31,250533.0,74.0,kat.a.538,2022-03-30T00:23:48Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,4.0
0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-29,172127.0,72.0,kat.a.538,2022-03-30T00:23:00Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC,0.86,0.758,11.0,-5.16,1.0,0.0695,0.021,6.54e-05,0.344,0.453,97.014,4.0
2DEZmgHKAvm41k4J3R2E9Y,Safaera,YHLQMDLG,"Bad Bunny,Jowell & Randy,Ñengo Flow",2020-02-29,295176.0,75.0,kat.a.538,2022-03-30T00:23:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC,0.607,0.829,2.0,-4.074,1.0,0.379,0.0103,0.0,0.107,0.685,96.172,4.0
4gChz67rTHfVzKCZAHsifM,La Tóxica (feat. Jay Wheeler & Tempo) - Remix,La Tóxica (feat. Jay Wheeler & Tempo) [Remix],"Farruko,Sech,Myke Towers,Jay Wheeler,Tempo",2020-10-21,294240.0,52.0,kat.a.538,2022-03-30T00:24:06Z,"reggaeton,trap latino,latin,urbano latino,latin hip hop,dembow",Sony Music Latin,0.727,0.692,9.0,-3.25,1.0,0.104,0.102,1.07e-06,0.0562,0.604,92.019,4.0
5fwSHlTEWpluwOM0Sxnh5k,Pepas,Pepas,Farruko,2021-06-24,287120.0,78.0,kat.a.538,2022-03-30T00:24:11Z,"reggaeton,trap latino,latin",Sony Music Latin,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4.0
47EiUVwUp4C9fGccaPuUCS,DÁKITI,DÁKITI,"Bad Bunny,JHAYCO",2020-10-30,205090.0,78.0,kat.a.538,2022-03-30T00:25:32Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4.0
6k2900NjJeVqZM55G3Danu,Bum Bum Tam Tam,Bum Bum Tam Tam,"MC Fioti,Future,J Balvin,Stefflon Don,Juan Magán",2017-12-15,213988.0,67.0,kat.a.538,2022-03-30T00:25:38Z,"funk,brazilian funk,rap,reggaeton,latin,dancehall",Universal-Island Records Ltd.,0.896,0.675,1.0,-3.908,1.0,0.124,0.346,8.11e-06,0.262,0.659,131.999,4.0
2ctjDCCg1wHoQSjIJ8p6U4,Candy,Love And Sex,Plan B,2014-08-25,207626.0,71.0,kat.a.538,2022-03-30T00:23:27Z,reggaeton,Pina Records,0.897,0.864,11.0,-3.735,0.0,0.147,0.252,0.0,0.517,0.542,95.981,4.0
2L95U6syP0bV3fkYYOzmiW,La Mamá de la Mamá (feat. El Cherry Scom),La Mamá de la Mamá (feat. El Cherry Scom),"El Alfa,CJ,Chael Produciendo,El Cherry Scom",2021-04-08,219000.0,2.0,kat.a.538,2022-03-30T00:26:14Z,"dembow,urbano latino,latin,reggaeton",El Jefe Records,0.922,0.927,11.0,-3.025,1.0,0.105,0.283,0.00331,0.719,0.796,129.978,4.0
