Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Un Sueño,"Alex Gargolas,R.K.M & Ken-Y",0.788,0.676,0.0663,0.17,0.0486,0.355,0.812
Cuéntale,Ivy Queen,0.811,0.838,0.0469,0.00996,0.00037,0.116,0.529
Libertad,Ivy Queen,0.815,0.861,0.0826,0.027,0.0,0.071,0.711
"Te He Querido, Te He Llorado",Ivy Queen,0.776,0.857,0.0598,0.29,4.47e-06,0.125,0.552
Quiero Bailar,Ivy Queen,0.815,0.826,0.155,0.283,0.0,0.256,0.737
Quiero Saber,Ivy Queen,0.868,0.912,0.0581,0.137,3.83e-06,0.169,0.857
Mi Cama Huele a Ti,"Tito El Bambino,Zion & Lennox",0.738,0.85,0.0403,0.0775,0.0,0.162,0.678
Pegao,Wisin & Yandel,0.791,0.814,0.247,0.505,0.0,0.355,0.828
Si,Arcángel,0.658,0.562,0.191,0.115,1.83e-05,0.0846,0.71
Pienso en Ti,"Cosculluela,De La Ghetto",0.66,0.454,0.216,0.313,0.0,0.158,0.534
Ganas De Ti,Arcángel,0.871,0.589,0.0499,0.0581,0.000354,0.381,0.445
Soy Igual Que Tú (feat. Toby Love),"Alexis y Fido,Toby Love",0.852,0.66,0.224,0.277,0.0,0.207,0.517
Yo Voy (feat. Daddy Yankee),Zion & Lennox,0.808,0.697,0.241,0.041,0.0,0.0546,0.554
Fanática Sensual,Plan B,0.793,0.853,0.0477,0.0937,0.0,0.085,0.906
Dale Don Dale,Don Omar,0.831,0.818,0.0824,0.0245,0.000319,0.0892,0.819
Siente El Boom (feat. Randy),"Tito El Bambino,Randy",0.805,0.738,0.0644,0.0965,0.0,0.123,0.524
Doncella,Zion & Lennox,0.686,0.877,0.131,0.00221,0.243,0.108,0.877
Ahora Es,Wisin & Yandel,0.821,0.776,0.109,0.104,0.0,0.443,0.705
Pam Pam,Wisin & Yandel,0.874,0.69,0.114,0.121,0.0,0.249,0.735
Pa' Que La Pases Bien,Arcángel,0.897,0.755,0.144,0.00758,0.000451,0.264,0.567
Pobre Diabla,Don Omar,0.734,0.741,0.0626,0.43,0.0185,0.0693,0.838
Junto Al Amanecer,J Alvarez,0.614,0.702,0.0378,0.245,4.63e-06,0.269,0.773
Yo Quiero Bailar,Ivy Queen,0.736,0.848,0.102,0.278,0.0,0.0854,0.69
Llamé Pa' Verte (Bailando Sexy),Wisin & Yandel,0.842,0.823,0.0791,0.072,1.23e-06,0.0865,0.634
Salió El Sol,Don Omar,0.887,0.701,0.0872,0.106,0.00948,0.0466,0.965
Soy Una Gargola,Randy,0.763,0.616,0.0552,0.0136,0.000411,0.116,0.471
El Telefono,"Héctor El Father,Wisin & Yandel",0.808,0.682,0.0963,0.171,1.42e-06,0.464,0.491
Permitame,"Tony Dize,Yandel",0.629,0.668,0.15,0.0287,0.0,0.159,0.904
Mayor Que Yo,Wisin & Yandel,0.762,0.856,0.0791,0.00192,3.26e-06,0.133,0.566
Tu Príncipe,"Daddy Yankee,Zion & Lennox",0.77,0.804,0.0623,0.16,1e-05,0.193,0.568
5 Letras,Alexis y Fido,0.82,0.788,0.191,0.272,1.65e-06,0.0404,0.648
Flow Natural,"Tito El Bambino,Beenie Man,Deevani",0.831,0.789,0.0661,0.121,0.0,0.328,0.827
Me Matas,R.K.M & Ken-Y,0.775,0.744,0.0916,0.0567,0.0,0.392,0.581
Down,R.K.M & Ken-Y,0.801,0.773,0.0896,0.563,0.00425,0.103,0.796
Dile,Don Omar,0.822,0.713,0.122,0.186,0.00013,0.0431,0.714
Noche De Sexo,"Wisin & Yandel,Romeo Santos",0.717,0.722,0.229,0.108,0.0,0.493,0.518
Brazilera (Remix),"Chimbala,Chucky73,Fetti031",0.888,0.683,0.175,0.48,0.0,0.245,0.693
Pa' Que Retozen,Tego Calderón,0.815,0.856,0.122,0.4,8.34e-05,0.244,0.872
Saoco,"Wisin,Daddy Yankee",0.844,0.862,0.114,0.132,1.92e-05,0.066,0.816
Ella Y Yo - Featuring Don Omar,"Aventura,Don Omar",0.732,0.708,0.262,0.534,0.0,0.237,0.717
Na De Na,"Angel Y Khriz,Gocho El Lápiz De Platino,John Eric",0.878,0.894,0.123,0.184,0.0,0.105,0.682
Machucando,Daddy Yankee,0.84,0.843,0.0632,0.241,9.97e-06,0.232,0.774
Quizas - Remix,"Tony Dize,Ken-Y,Marioso",0.787,0.679,0.0658,0.416,0.0,0.15,0.876
Oye Mi Canto,"N.O.R.E.,Daddy Yankee,Nina Sky,Gemstar,Big Mato",0.677,0.946,0.0548,0.184,3.73e-06,0.274,0.948
No Te Veo - Remix,Casa De Leones,0.841,0.878,0.0782,0.0484,3.18e-06,0.335,0.966
Sexy Movimiento,Wisin & Yandel,0.816,0.757,0.0395,0.382,3.28e-06,0.147,0.726
Rakata,Wisin & Yandel,0.872,0.786,0.142,0.0348,0.0,0.0776,0.722
Al Natural (feat. Yandel),"Tego Calderón,Yandel",0.923,0.784,0.0789,0.241,0.0,0.071,0.707
Aparentemente,"Yaga & Mackie,Arcángel,De La Ghetto",0.86,0.692,0.112,0.0736,0.00247,0.182,0.85
Noche de Travesura,Héctor El Father,0.826,0.532,0.238,0.292,0.0,0.075,0.45
Hay Algo en Ti,"Luny Tunes,Noriega,Zion & Lennox,Tito El Bambino",0.842,0.681,0.0544,0.0115,2.65e-06,0.113,0.238
La Noche Esta Buena,"Don Omar,Héctor El Father,Daddy Yankee",0.825,0.744,0.0789,0.0572,0.189,0.357,0.726
Candy,Plan B,0.897,0.864,0.147,0.252,0.0,0.517,0.542
La Calle Me Lo Pidio,"Yandel,Tego Calderón",0.768,0.753,0.12,0.145,0.00368,0.0907,0.729
Guatauba,Plan B,0.805,0.745,0.224,0.00849,0.000942,0.0378,0.638
