title,artist,song,similar_lyrics,similar_track,similar_artist
Cuéntale,Ivy Queen,Cuéntale by Ivy Queen,"4 ContributorsDile LyricsQuien te va a querer como yo te quiero
(Como yo te quiero) (como yo te quiero)
Quien te va adorar como yo te adoro
(Como yo te adoro) (Como yo te adoro)

Porque tu no le dices que nos queremos y que yo te toco
Y que de eso tu sabes que te vuelves loco
Y acercate suave pa tenerme a mi

Quien te va a querer como yo te quiero
Quien te va adorar como yo te adoro
Andale dile y ponte hacerlo todo
Porque no estoy ready pa decirle al mio

Que tu me quieres que yo soy tu nena
La que te da alegria en tu pena
Que no te importa llego la distancia
Vamo a curarnos juntos estas ancias

Nos conocimos los dos bailando
Mientras la musica nos fue llevando
Y me pregunto que hasta cuando vamos a contarlo y nos Seguimo amando

Porque no le dices que nos queremos (queremos)
Y que yo te toco (toco)
Y que de eso tu sabes que te vuelves loco
Y acercate suave pa tenerme a mi


Que tu me quieres y que yo soy tu nena
Y que todas las noches te pasas pensando en mi
No se si es un castigo o un gran problema
No importa el que diran si yo vivo pensando en ti

Y dile que nos queremos (nos queremos)
Dile que te estoy amando (amando)
Dile que esto esta creciendo (creciendo)
Y que tu me estas buscando

Entonces mira yo le dire
Que me perdone se que le falle
Miles de veces siempre lo busque
Y la pasion en el no la encontre

Porque no le dices que nos queremos (nos queremos)
Y que yo te toco (te toco)
Y que de eso tu sabes que te vuelves loco (loco)
Y acercate suave pa tenerme a mi

Quien te va a querer como yo te quiero
Quien te va adorar como yo te adoro
Anda dile y ponte hacerlo todo
Porque no estoy ready pa decirle al mio

Que tu me quieres y que yo soy tu nena
Y que todas las noches te pasas pensando en mi
No se si es un castigo o un gran problema
No importa el que diran si yo vivo pensando en ti


Y dile que nos queremos (nos queremos)
Dile que te estoy amando (amando)
Dile que esto esta creciendo (creciendo)
Y que tu me estas buscando

Entonces mira yo le dire
Que me perdone se que le falle
Miles de veces siempre lo busque
Y la pasion en el no la encontre

Colombia (nos queremos)
Hey te toco (amando)
Hey hey loco (y acercate suave pa tenerme a mi)
La Diva
Nos queremos

Hey te toco (amando)
Hey hey loco (y acercate suave pa tenerme a mi)
Hey hey",Dile,Ivy Queen
Libertad,Ivy Queen,Libertad by Ivy Queen,"13 ContributorsLa boda Lyrics[Letra de ""La Boda""]

[Intro: Padre & Romeo Santos]
Queridos hermanos, continuemos con esta boda
Si hay alguien presente que se oponga a este matrimonio
Que hable ahora o calle para siempre
Yo me opongo

[Coro]
¿Quién te ama como yo, cosita linda?
Ay, Dios, si te casas, te llevarás mi vida
Es como un fin de una novela
Nuestra historia la más bella
Dime que esta ceremonia es una pesadilla

[Verso 1]
Un momento, Padre, no permita esto, es absurdo, es un error
Ponga pausa a esta boda, ya le explico mi motivo y quién soy yo
Y que me escuche ese estúpido en el altar
Y al público voy a contar la historia de un gran amor
Hace un año que rompimos, como locos nos quisimos
Los dos compartimo' un corazón
Mas hoy se casa pa' intentar borrarme
Pero ven acá, ¿y quién es este loco?
Shh, no opine, por favor
Hoy renuncio a su abandono, y vengo dispuesto a todo
Mi ídolo, Romeo, luchó por amor
Y un soldado es un héroe aunque muere en la guerra
No salgo de esta iglesia si no es junto con ella


[Coro]
¿Quién te ama como yo, cosita linda?
Ay, Dios, si te casas, te llevarás mi vida
Es como un fin de una novela
Nuestra historia la más bella
Dime que esta ceremonia es una pesadilla

[Verso 2]
Mi amor, por Dios, recapacita, recordemo' nuestras vidas
Cuando niño' aquel domingo nos dimo' el primer besito
Hicimo' un pacto de palabra (Hicimo' un pacto de palabra)
Yo te amo, tú me amas (Yo te amo, tú me amas)
Y aunque venga el fin del mundo, ni la muerte nos separa
Y esas madrugadas que escalé por tu ventana
Tu perrito me ladraba y a tu padre levantaba
No contaban con mi astucia, nunca, nunca me agarraban
Tu madre buscando el ruido y yo debajo de tu cama
¿Cómo olvidar ese colegio donde estudié tu cuerpo?
En el baño, piso cuatro, to' los días dos y cuarto
No es lo mismo hacer el sexo a que te hagan el amor
Tu almohada fue testigo de las noches de pasión
Tú perdías el control y hasta te excito con mi voz
Tus días amargos remedié con una llamada
Mi amor, no te abandoné, mi viaje fue muy necesario
Y la carta que te envié no la recibiste, mira el daño


[Interludio]
Mi amor, ¿pero tú eres loca?
Let me find out
Aventura
No, no, no, no

[Puente]
¿Quién te ama como yo, cosita linda?

[Verso 3]
Y ahora me dirijo al insuficiente poca cosa
Y así te atreves a compararte conmigo (What's wrong?)
¿Quién te ha dado titulo de una mujer ajena?
Al César lo del César, ¿dime quién? Maldita sea
Yo conozco sus defectos, sus más íntimos secretos
Te daré, de hombre a hombre, un chance para hablar
¿Qué pasa? ¿No dices nada? Tú nunca la harás feliz
Tu futura esposa llora lágrimas por mí

[Outro]
¿Por qué lloras? Porque sabes que digo la verdad, ¿ah?
La única verdad que tú conoces
La verdad que muchos en esta boda también recuerdan
Y se sientan a presenciar este teatro
Dramatizado por una hipócrita y un payaso
Y sí, tú eres la actriz de esta obra ridícula, levanta la cabeza
Mírame, mírame, mírame cuando te hablo
Yo, que te vi reír, te vi llorar
Yo, que viví junto a tu lado los mejores y peores capítulos
De nuestra novela, de nuestra historia
A tu protagonista le pagas con este final, ¿ah?
A mí, no, mi amor",La Boda,Aventura
"Te He Querido, Te He Llorado",Ivy Queen,"Te He Querido, Te He Llorado by Ivy Queen","7 ContributorsQuiero Saber LyricsDJ-DJ-DJ-DJ-Nelson!
En los Kilates!
DJ-DJ-DJ-DJ-Nelson!
(En la disco!)
(Looney Tunes!)
I, V and Y!
En los Kilates!
Ivy Queen, la gata, I, V and Y!
(Noriega!)
Yo quiero saber
Si cuando empieza el ritmo tu quieres bailar
Y a la vez tocar mi sexy body
Pero por favor
Dime que tu quieres bailar conmigo
Para tocarme mi sexy body
(Hey!)
Tu sabes la que a ti te canta es I, V, and Y
Ivy Queen, la gata que va en busca de un boy
Te quiero satisfacer
Y tu cuerpo estremezer
Para que comprendas que siempre sere tu girl
Muchas mujeres siempre en la disco detras de ti
Pero lo que ellas no saben, que eres para mi
Que tu eres el man con quien quiero perriar
Oye, papi, deja eso
Y ven aca pa' bailar
Y es que tu bailas muy bien
Como te llamas, mujer
Yo me llamo Gran Omar
Y te quiero complacer
Y yo bailo tambien
Pegate, que vas a ver
Que seguro que te voy a complacer, mujer, muy bien
Yo quiero saber
Si cuando empieza el ritmo tu quieres bailar
Y a la vez tocar mi sexy body
Pero por favor
Dime que tu quieres bailar conmigo
Para tocarme mi sexy body
Dicen que en la disco vas en busca de un boy
Para de buscarlo porque aqui ya yo estoy
Yo te invitare a bailar
Y yo te voy a tocar
Y te juro que los dos nos vamos a excitar
Yo quiero, yo quiero que tu me beses a mi
Aprieta mi cuerpo que soy todo para ti
Que al ritmo de este reggae
Meteme contra la pared
Le dejes saber a todos que soy tu mujer
Hey, muevete, muevete, muevete un poco mas
Que en la disco la musica nunca va a parar
Yo te viro por detras
Suave me voy a pegar
Te prometo, mi vida, que te va a encantar
Yo quiero saber
Si cuando empieza el ritmo tu quieres bailar
Y a la vez tocar mi sexy body
Pero por favor
Dime que tu quieres bailar conmigo
Para tocarme mi sexy body
Que tu eres el man con quien quiero perriar
Oye, papi, deja eso
Y ven aca pa' bailar
Que tu eres el man con yo quiero tener
Te prometo, vida mia, que yo te puedo satisfacer
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
(Yo te invitare a bailar!)
Tra-tra-tra-tra
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra
(En la disco!)
Bellakeo
Tra-tra-tra-tra",Quiero Saber,Ivy Queen
Quiero Bailar,Ivy Queen,Quiero Bailar by Ivy Queen,"23 ContributorsPa’ Que Retozen Lyrics[Letra de ""Pa' Que Retozen""]

[Intro]
Oye, El Abayarde
El Tego Calde' con DJ Joe
Y metiéndole cabrón, oye

[Verso 1]
Esto e' para ustedes, pa' que se lo gocen
Tego Calderón, pa' que retocen
Huelo a nuevo, me siento al día, en la mía, mami
Y ando bien perfuma'o y la' paca', por si no fían
Sin misterio, llénense de placer
Que se acaba el mundo, y no vine pa' perder
Apaguen los celulare', repórtense a sus hogare'
Hoy sí que sí, que vamo' a hacer maldade'
Muevan su cu-cu, cuando yo les tire mí zun-zun
En la cintura traigo mi tun-tun
Mami, yo quiero agarrarte por el pelo
Mientras te tiro mi lenguaje obsceno
Yo soy el má' que tú quisiera' que tu cuerpo aplaste
Con esta bambúa siempre hago desastre
No te me deguille' que tú sabe' que yo hago que brille
Soy el number one, I'm má' monstro que los de Thriller

[Coro]
Esto e' para ustedes, pa' que se lo gocen
Pa' que se lo gocen, pa' que se lo rocen
Oye, esto e' para ustedes, pa' que se lo gocen
Pa' que se lo gocen, pa' que se lo rocen


[Verso 2]
Oye, vamo', morena, culipandea esa batea
Cachea, pero que también pichea
La golfea, esa sí no fantasmea
Oye mi canción y como frontea
No importa dónde me vea, la tuya e' la que me llena
Alegría pa' mi cuerpo y no me huelen ni la' azucena'
Es el negro Jiggiri, el enemy de lo' guasíbiri'
El que nunca tira trililí
Sandunga pa' las ladies, sabor de aquí pa' ti
Mami, bachata de ajonjolí
Dale pa' la esquina, pa' ponertela en la china
Oye, si las más putas son la' más fina'
Digan lo que digan, vamo' a gozarno' la vida
Tampoco a lo loco, protégeteme la mina, mija
No te me cohíba' y exija
A menos que tú quiera' hacer tus valija'
Esto no es un juego, see you later, te veo luego
Coge consejo de Tego, pa' que llegue' a viejo
Si te va' a güiro pela'o y te sale premia'o
Por no haberlo encapucha'o eso sí es foul
A última hora, gózatelo con la ropa puesta
Trabajo cuesta, nadie piensa cuando va a dar yesca

[Coro]
Esto e' para ustedes, pa' que se lo gocen
Pa' que se lo gocen, pa' que se lo rocen
Oye, esto e' para ustedes, pa' que se lo gocen
Pa' que se lo gocen, pa' que se lo rocen


[Outro]
Este e' Tego Calderón, El Abayarde
Junto a DJ Joe y Rafy Mercenario
Metiéndole cabrón en el microphone
Pa' que se lo gocen y pa' que retocen
Todas esa' gata', que les gusta mi melaza
Llegó el Zulu como Shaka
Jaja ¿Qué fue?
Yo creí que ellos sabían de mí",Pa' Que Retozen,Tego Calderón
Quiero Saber,Ivy Queen,Quiero Saber by Ivy Queen,"6 ContributorsTe He Querido Te He Llorado LyricsLuny!..
Muchos le llaman Bachateeo (bachateo)
Yo le llamo sentimiento (sentimiento)

Vamo' a roncar ahora

EH!, mas flow 2

Te hee queridooo oooo oo
EH! Soy la diva!, la caballota!

Te he querido, te he llorado!..Beibii..
Y la vida te he entregado!

Y tuuu, te burlas de mii!..
Me haces sufrirr..
Me mientes asii

No soy de hierroo!..
Yo soy una mujer!.. y ahora vas a entenderr!
Cuando me veas con ell!

Sufriras!. como yo asi tu lo veras!
Y en tu vida nadie te quedra!
Lo que hiciste me la pagaras!
Si en mis manos tuviera un puñal lo usaria!.. y la vida yo te quitaria
Por dejarme tan sola y vacia!
Por mi madre que te arrastraria, vida miia!


Todas las promesas, ya se acabo
El fuego que quemaba, se apago
Los besos que me dabas, se los llevo

Nada quedo, ahora vengo yo!

Te he querido, te he llorado! (te he llorado)..Beibii..
Y la vida te he entregado!

(Mientras tu)
Y tuuu, te burlas de mii!..
Me haces sufrirr..
Me mientes asii

Sufriras!. como yo asi tu lo veras!
Y en tu vida nadie te quedra!
Lo que hiciste me la pagaras!
Si en mis manos tuviera un puñal lo usaria!.. y la vida yo te quitaria
Por dejarme tan sola y vacia!
Por mi madre que te arrastraria, vida miia!

Esas cosas duelen
Como te hieren
Ya no me tienes
No puedes
(no no no, no)


Canalla!! toda mi vida te di!
Respiraba yo por tii!
Y ahora te quedas sin mi!
Beibiii

No sabes que es ser amadoo
(tu no sabes naa, tu no sabes naa!) beibii

Y ahora andas desesperadoo
(dale paa!)

Y yoooo
Canto esta cancionn
Me lleno de emocion
Y tube confusionn, desilucion!

Mientras tuu
Sufriras!. como yo asi tu lo veras! (vamo a matarno)
Y en tu vida nadie te quedra!(eeh)
Lo que hiciste me la pagaras!
Si en mis manos tuviera un puñal lo usaria!.. y la vida yo te quitaria
Por dejarme tan sola y vacia!
Por mi madre que te arrastraria, vida miia!

RRRRRRA


Dile lunyy!
Ioo

Ehh!

Que eso le guta al corillo paa!

Pa la mujeree pa!

Mas floww 2

Con la divaa

La caballota pa!
La potra pa!

Dalee

(ivy queen)

Ivy!
Queen!

Q-Queen

Queen!

Divaa!

Dalee duro pa!
Dale duro pa!

Lunyy!

(Gracias a Paulis por esta letra)","Te He Querido, Te He Llorado",Ivy Queen
Pegao,Wisin & Yandel,Pegao by Wisin & Yandel,"7 ContributorsMírala Bien Lyrics[Letra de ""Mírala Bien""]

[Coro: Yandel & Wisin]
Mírala bien (Eh-eh)
Ella es la que rompe el suelo
Y no le importa con quién (Eh-eh)
A esa tú le suelta' el pelo
Y se lo halas también (Eh, eh-eh, eh-eh; duro)
Pero mírala bien (Pero mírala bien)
Pero mírala bien (Pero mírala bien)
Ella es de las que rompe el suelo
Y no le importa con quién
Bailotea, con quién
Coquetea, con quién
Sandunguea, con quién (Oye, pana mío, yo que tú; ¡hah!)

[Verso 1: Wisin]
Mírala bien que esa gata te hipnotiza (¡Hah!)
Ella te hechiza (¡Hah!), cuando la disco pisa (¡Buh!)
Se combina el pantalón con la camisa (¡Hah!)
Uñas postiza' (¡Buh!) y el pelo se lo enriza
A vece' ella quiere que la bese (¿Cómo?)
Ahí es que Wisin se crece
Llevo dándole duro seis mese'
Dile, Yandel, lo que la enloquece


[Refrán: Yandel]
Que la toquen, que la besen, que la guayen
No le va a importar
Que la toquen, que la besen, que la guayen
Ella fácil se va

[Coro: Yandel & Wisin]
Mírala bien (Eh-eh)
Ella es la que rompe el suelo
Y no le importa con quién (Eh-eh)
A esa tú le suelta' el pelo
Y se lo halas también (Eh, eh-eh, eh-eh)
Pero mírala bien (Pero mírala bien)
Pero mírala bien (Pero mírala bien)
Ella es de las que rompe el suelo
Y no le importa con quién
Bailotea, con quién
Coquetea, con quién
Sandunguea, con quién (Oye, pana mío)

[Verso 2: Wisin]
Esa gata es un tesoro, yo la adoro
El novio se portó mal y se convirtió en toro
Sevú, ella anda con W
Yo le hago lo que no le hiciste tú, buh (¡Wah-yah!)
De karateca reflejo'
El zorro viejo que puede ser tu parejo
Mami, me voy lejo', yo nunca la dejo (Hah)
Salve su pellejo


[Refrán: Yandel]
Que la toquen, que la besen, que la guayen
No le va a importar
Que la toquen, que la besen, que la guayen
Ella fácil se va

[Outro: Wisin]
Que la toquen, que la besen, que la guayen
A ella no le importa lo que le hagan
Solamente quiere saciar la sed, jajajajaja
W con Yandel
El Dúo de la Historia, brocky
No invente que está siendo un ridículo
¿Oyó?
Buh
Cayey
Agustín, dile'
Berto, diles quiéne' somo'
No hay liga, no hay break
Ya en la cima están los que están
No inventes, papi, que tú no subes más de ahí",Mírala Bien,Wisin & Yandel
Si,Arcángel,Si by Arcángel,"6 ContributorsÉl No Se Va a Enterar Lyrics[Letra de ""Él No Se Va a Enterar""]

[Coro]
Olvídate 'e tu gato, y ven conmigo, a un hermoso lugar
Pa' que vaciles un rato, sola conmigo, él no se va a enterar
Olvídate 'e tu gato, y ven conmigo, a un hermoso lugar
Pa' que vaciles un rato, sola conmigo, él no se va a enterar (Si)

[Verso 1]
Ella me dice que tiene novio, pero todos los días me llama
Dios mío, si supiera su novio que siempre amanece en mi cama, aja
Oye, mami, paremo' de hablar, yo te llevo al mall, no solamente a pasear Hey, no es que te quiera frontear, pero si te gusta algo, te lo puedo comprar, yes

[Pre-Coro]
Si hay problema' o si estás sólita, me llama' y conmigo te envuelve'
Es grande la chamaquita, si hay problema', sola lo resuelve
Si hay problema' o si estás sólita, me llama' y conmigo te envuelve'
Es grande la chamaquita, si hay problema', sola lo resuelve

[Coro]
Olvídate 'e tu gato, y ven conmigo, a un hermoso lugar
Pa' que vaciles un rato, sola conmigo, él no se va a enterar
Olvídate 'e tu gato, y ven conmigo, a un hermoso lugar
Pa' que vaciles un rato, sola conmigo, él no se va a enterar (Aja)

[Verso 2]
Oye, mami, si quieres me puedes llamar
Todos los días, conmigo te puedes comunicar
Sorpresas tengo, pa' mi chica virtual
Algo fuera de este mundo, te va a encantar
Si quieres, te llevo, de crucero
A dar paseos, por el mundo entero
Si quieres, te llevo, a un viaje fenomenal
Donde tu celular, no tenga señal


[Pre-Coro]
Si hay problema' o si estás sólita, me llama' y conmigo te envuelve'
Es grande la chamaquita, si hay problema', sola lo resuelve
Si hay problema' o si estás sólita, me llama' y conmigo te envuelve'
Es grande la chamaquita, si hay problema', sola lo resuelve

[Coro]
Olvídate 'e tu gato, y ven conmigo, a un hermoso lugar
Pa' que vaciles un rato, sola conmigo, él no se va a enterar
Olvídate 'e tu gato, y ven conmigo, a un hermoso lugar
Pa' que vaciles un rato, sola conmigo, él no se va a enterar

[Outro]
Arcángel pa' (Pa), La Maravilla (La Maravish)
Esto es una colaboración entre Luny Tunes, Tainy y Noriega (Wow)
Junto al fenómeno musical (Ese soy yo)
Tú te sabe' mi nombre ya (Jaja)
Por fin, La Maravilla, papi (Oh, yes, oh)
Esta canción es dedicada a todas aquellas mujeres que (Oh, oh) tienen una relación
Pero, son fanáticas de buscar otra cosa
¿Tú me sigues? (Pa')",Él No Se Va A Entrar,Arcángel
Ganas De Ti,Arcángel,Ganas De Ti by Arcángel,"19 ContributorsPor Amar A Ciegas Lyrics[Letra de ""Por Amar A Ciegas""]

[Verso 1]
Yo le pregunté a un pastor del amor
Y él me dijo que se lo entregara a Dios
Que no me sintiera solo
Que estar solo era mejor que vivir de una ilusión
Yo le pregunté a un dentista del amor a primera vista
Y dijo que era un error
Que eso era de novelistas, soñadores
Que en la vida hay que ser más realista

[Coro]
Y ahora que no te tengo pienso en todo el tiempo perdido, que perdí contigo
Pues, por amarte a ciegas, yo no escuché y me lancé al vacío por amor
Todos me dijeron, todos me advertían que hay flores que tienen espinas

[Verso 2]
Yo le pregunté a un señor del amor
Y él me dijo que ignorarlo era mejor
Que yo era joven y el dinero debería ser más importante
Que mil amores
Yo le pregunté a un anciano en un boulevard lejano
Del amor y las pasiones
Me dijo: ""Hijo mío, es un cristal de doble filo y corta
Te guinda de un hilo""


[Coro]
Y ahora que no te tengo pienso en todo el tiempo perdido, que perdí contigo
Pues, por amarte a ciegas, yo no escuché y me lancé al vacío por amor
Todos me dijeron, todos me advertían que hay flores que tienen espinas

[Verso 3]
Yo le pregunté a mi padre del amor y la inocencia
De la fe, la paciencia y, ¿sabes lo que dijo?
""Hijo, siempre es mejor ignorar el corazón
Hazle caso a tu conciencia""
Yo le pregunté a mi madre del amor que te tenía
Y dijo que eran fantasías
Que si yo no le creía con el tiempo aprendería
Que ella tenía razón

[Coro]
Y ahora que no te tengo pienso en todo el tiempo perdido, que perdí contigo
Pues, por amarte a ciegas, yo no escuché y me lancé al vacío por amor
Todos me dijeron, todos me advertían que hay flores que tienen espinas

[Outro Instrumental]",Por Amar A Ciegas,Arcángel
Yo Voy (feat. Daddy Yankee),Zion & Lennox,Yo Voy (feat. Daddy Yankee) by Zion & Lennox,"83 ContributorsTranslationsDeutschEnglishGasolina Lyrics[Letra de ""Gasolina""]

[Intro: Daddy Yankee]
(Oh, oh, oh, oh)
(Oh, oh, oh, hey) Who's this? Da-ddy Yan-kee

[Pre-Coro: Daddy Yankee]
Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Que se preparen que lo que viene es pa' que le den
(Duro) Mamita, yo sé que tú no te me va' a quitar
(Duro) Lo que me gusta es que tú te dejas llevar
(Duro) Todos los weekenes ella sale a vacilar
(Duro) Mi gata no para 'e janguear, porque
[Coro: Daddy Yankee & Glory]
A ella le gusta la gasolina
Dame más gasolina
Cómo le encanta la gasolina
Dame más gasolina
A ella le gusta la gasolina
Dame más gasolina
Cómo le encanta la gasolina
Dame más gasolina


[Verso 1: Daddy Yankee]
Ella prende las turbina', no discrimina
No se pierde ni un party de marquesina
Se acicala hasta pa' la esquina
Luce tan bien que hasta la sombra le combina
Asesina, me domina
Janguea en carros, motoras y limusinas
Llena su tanque de adrenalina
Cuando escucha reggaetón en las bocina'
[Coro: Daddy Yankee & Glory]
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)

[Verso 2: Daddy Yankee]
Aquí somos los mejores, no te me ajore'
En la pista nos llaman ""Los Matadore'""
Tú hace' que cualquiera se enamore
Cuando bailas al ritmo de los tambore'
Esto va pa' las gatas de to's colore'
Pa' las mayore', pa' las menore'
Pa' las que son más zorras que los cazadore'
Pa' las mujeres que no apagan sus motore'


[Puente: Daddy Yankee]
Tenemo' tú y yo algo pendiente
Tú me debe' algo y lo sabe'
Conmigo ella se pierde
No le rinde cuentas a nadie
Tenemo' tú y yo algo pendiente
Tú me debe' algo y lo sabe'
Conmigo ella se pierde
No le rinde cuentas a nadie

[Pre-Coro: Daddy Yankee]
Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Zúmbale mambo pa' que mis gata' prendan los motore'
Que se preparen que lo que viene es pa' que le den
(Duro) Mamita, yo sé que tú no te me va' a quitar
(Duro) Lo que me gusta es que tú te dejas llevar
(Duro) Todos los weekenes ella sale a vacilar
(Duro) Mi gata no para 'e janguear, porque
[Coro: Daddy Yankee & Glory]
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)
A ella le gusta la gasolina (Oh, oh)
Dame más gasolina (Oh, oh)
Cómo le encanta la gasolina (Oh, oh)
Dame más gasolina (Oh)


[Outro]
(Oh, oh, oh, oh)
(Oh, oh, oh, oh)",Gasolina,Daddy Yankee
Fanática Sensual,Plan B,Fanática Sensual by Plan B,"9 Contributors¿Por Qué Te Demoras? Lyrics[Letra de ""¿Por Qué Te Demoras?""]

[Intro: Chencho Corleone]
Si yo lo que quiero es compartir contigo un rato
No te cohíbas que se nos acaba la noche

[Coro: Chencho Corleone]
¿Por qué te demoras?
Sé que quieres, se te nota
Al hablarme, al mirarme, no puede' engañarme
Aeh, aeh, aeh, aeh, aeh (Oye, con Nely ""El Arma Secreta"", okay?)
Aeh, aeh, aeh, aeh, con el Plan B (Nosotros, jaja)
Sé que quieres, se te nota
Al hablarme, al mirarme, no puede' engañarme

[Verso 1: Maldy]
Amor a primera vista, con esa chica de revista
Con el estilista así como la de maita
Le gusta que le insista, aunque se resista
Ella no es como se pinta
Ella dice que sabe, si sabe yo quiero saber
Si sabe como me imagino, sabe me la voy a comer
Ella dice que sabe, cuando lo dice me da hambre
Si se imagina, me imagino, nos vamo' a comer

[Verso 2: Chencho Corleone]
Si yo pudiera saber lo que hay en tu mente
Si tu mirada me dice que eres caliente
Que te pones tímida delante de la gente, disimulando
Que hace mucho tú me gusta' es evidente
Olvídate de lo que tus amigas piensen
Que sus palabras no son suficientes
¿Por qué te demoras? ¿Por qué te detienes?


[Coro: Chencho Corleone]
Sé que quieres, se te nota
Al hablarme, al mirarme, no puede' engañarme
Aeh, aeh, aeh, aeh, aeh
Aeh, aeh, aeh, aeh, con el Plan B
Sé que quieres, se te nota
Al hablarme, al mirarme, no puede' engañarme

[Verso 3: Maldy]
Soy el que la explota
Que cantando te sube la nota
Cuando el Plan B canta, el party se alborota
Y todas las féminas se ponen bien loca'
Loca', to'as vinieron a lucir su ropa
Se pone linda, me gusta como ella se pinta
Se hace la difícil y después se lo chin–
En la disco o en los carros o en cualquier lugar
Lo importante es complacerte y también aventurar
Solo invítala, que yo sé que a ella le va a gustar
Llévatela a pasear, que yo sé que es liberal
En el sexo inmortal, con su flow natural
Como culebra, con una furia bestial

[Coro: Chencho Corleone & Maldy]
Sé que quieres, se te nota
Al hablarme, al mirarme, no puede' engañarme
Aeh, aeh, aeh, aeh, aeh
(Y andamo' con el Artillery, en House Of Pleasure, okay?)
Aeh, aeh, aeh, aeh, con el Plan B (Con Pina Records)
Sé que quieres (Sé que quieres)
Se te nota (Se te nota)
Al hablarme, al mirarme, no puede' engañarme


[Outro: Chencho Corleone & Maldy]
Trabajando con los mejores
Nely ""El Arma Secreta""
Con el dúo del sex (Sex, sex)
Chencho y Maldy
Plan B
Jajaja",¿Por Que Te Demoras?,Plan B
