track_1,artist_1,similar_track,similar_artist
Todo De Ti,Rauw Alejandro,Sexo Virtual,Rauw Alejandro
Yo Perreo Sola,Bad Bunny,La Difícil,Bad Bunny
Pepas,Farruko,Me Rehúso,Danny Ocean
Candy,Plan B,Es un Secreto,Plan B
Gasolina,Daddy Yankee,Rompe,Daddy Yankee
"Lo Que Paso, Paso",Daddy Yankee,El Amante (feat. J. Alvarez),Daddy Yankee
Propuesta Indecente,Romeo Santos,Eres Mía,Romeo Santos
Darte un Beso,Prince Royce,Corazón Sin Cara,Prince Royce
La rebelion,Joe Arroyo,Cali Pachanguero,Grupo Niche
Hasta el Amanecer,Nicky Jam,Ay Vamos,J Balvin
Si No Le Contesto,Plan B,Es un Secreto,Plan B
El Perdedor,Maluma,Borro Cassette,Maluma
25/8,Bad Bunny,Pero Ya No,Bad Bunny
Cuando Perriabas,Bad Bunny,RLNDT,Bad Bunny
Ser Bichote,Bad Bunny,Caro,Bad Bunny
Ella Me Levanto,Daddy Yankee,"Lo Que Pasó, Pasó",Daddy Yankee
Una Vaina Loca,Fuego,Bailando Por Ahi,Juan Magán
Hotel Room Service,Pitbull,I Know You Want Me (Calle Ocho),Pitbull
Caile,Tito El Bambino,Siente El Boom,Tito El Bambino
Cumbia Sampuesana,Aniceto Molina,El Diario De Un Borracho,Aniceto Molina
