track_1,artist_1,similar_track,similar_artist
Diet Pepsi,Addison Rae,2 Die 4 (feat. Charli XCX),Addison Rae
Seasons,Sam Austins,Say what you mean,Sam Austins
Love Me Not,Ravyn Lenae,1 of 1,Ravyn Lenae
Ivy,Frank Ocean,White Ferrari,Frank Ocean
No Pole,Don Toliver,No Idea,Don Toliver
Charcoal Baby,Blood Orange,Vulture Baby,Blood Orange
The Color Violet,Tory Lanez,Less Than Zero,The Weeknd
Last Night on Earth,Green Day,Before the Lobotomy,Green Day
squabble up,Kendrick Lamar,wacced out murals,Kendrick Lamar
like JENNIE,JENNIE,Start a War,Jennie
Dreamin,PARTYNEXTDOOR,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR
PUSH 2 START,Tyla,Truth or dare,Tyla
Bad Girls Like You,Tobii,HIT ME UP,Timethai
Stardust,ZAYN,Alienated,Zayn
Right Now,NewJeans,Hot Mess,aespa
Cry For Me,The Weeknd,Baptized in Fear,The Weeknd
Lovers,Anna of the North,Close to you,Gracie Abrams
Chloe or Sam or Sophia or Marcus,Taylor Swift,How Did It End?,Taylor Swift
BMF,SZA,No More Hiding,SZA
Made For Me,Muni Long,Make Me Forget,Muni Long
Agora Hills,Doja Cat,Paint the Town Red,Doja Cat
Juna,Clairo,Add Up My Love,Clairo
Replay,Iyaz,Solo,Iyaz
Juno,Sabrina Carpenter,Bed Chem,Sabrina Carpenter
Steal My Girl,One Direction,Where Do Broken Hearts Go,One Direction
NUEVAYoL,Bad Bunny,VOY A LLeVARTE PA PR,Bad Bunny
